episode,utilization,invalid_learned,invalid_attempted,boxes_attempted,placed_boxes,max_height,avg_height
287,0.863,79,0,100,21,10.0,8.63
288,0.799,72,0,100,28,10.0,7.99
289,0.733,85,0,100,15,10.0,7.33
290,0.857,77,0,100,23,10.0,8.57
291,0.779,76,0,100,24,10.0,7.79
292,0.795,78,0,100,22,10.0,7.95
293,0.843,70,0,100,30,10.0,8.43
294,0.784,72,0,100,28,10.0,7.84
295,0.829,74,0,100,26,10.0,8.29
296,0.894,70,0,100,30,10.0,8.94
297,0.864,73,0,100,27,10.0,8.64
298,0.699,80,0,100,20,10.0,6.99
299,0.897,80,0,100,20,10.0,8.97
300,0.758,76,0,100,24,10.0,7.58
301,0.735,79,0,100,21,10.0,7.35
302,0.748,78,0,100,22,10.0,7.48
303,0.795,74,0,100,26,10.0,7.95
304,0.764,76,0,100,24,10.0,7.64
305,0.89,74,0,100,26,10.0,8.9
306,0.838,75,0,100,25,10.0,8.38
307,0.779,82,0,100,18,10.0,7.79
308,0.81,72,0,100,28,10.0,8.1
309,0.729,74,0,100,26,10.0,7.29
310,0.804,77,0,100,23,10.0,8.04
311,0.808,76,0,100,24,10.0,8.08
312,0.79,81,0,100,19,10.0,7.9
313,0.804,73,0,100,27,10.0,8.04
314,0.756,77,0,100,23,10.0,7.56
315,0.703,76,0,100,24,10.0,7.03
316,0.847,73,0,100,27,10.0,8.47
317,0.887,75,0,100,25,10.0,8.87
318,0.755,78,0,100,22,10.0,7.55
319,0.742,75,0,100,25,10.0,7.42
320,0.86,74,0,100,26,10.0,8.6
321,0.846,79,0,100,21,10.0,8.46
322,0.766,78,0,100,22,10.0,7.66
323,0.834,75,0,100,25,10.0,8.34
324,0.838,75,0,100,25,10.0,8.38
325,0.788,79,0,100,21,10.0,7.88
326,0.755,80,0,100,20,10.0,7.55
327,0.792,79,0,100,21,10.0,7.92
328,0.814,78,0,100,22,10.0,8.14
329,0.768,72,0,100,28,10.0,7.68
330,0.759,78,0,100,22,10.0,7.59
331,0.838,73,0,100,27,10.0,8.38
332,0.837,73,0,100,27,10.0,8.37
333,0.746,75,0,100,25,10.0,7.46
334,0.851,76,0,100,24,10.0,8.51
335,0.837,75,0,100,25,10.0,8.37
336,0.764,81,0,100,19,10.0,7.64
337,0.781,73,0,100,27,10.0,7.81
338,0.724,78,0,100,22,10.0,7.24
339,0.745,77,0,100,23,10.0,7.45
340,0.855,70,0,100,30,10.0,8.55
341,0.782,74,0,100,26,10.0,7.82
342,0.821,75,0,100,25,10.0,8.21
343,0.805,75,0,100,25,10.0,8.05
344,0.829,76,0,100,24,10.0,8.29
345,0.835,73,0,100,27,10.0,8.35
346,0.814,76,0,100,24,10.0,8.14
347,0.783,74,0,100,26,10.0,7.83
348,0.852,74,0,100,26,10.0,8.52
349,0.826,70,0,100,30,10.0,8.26
350,0.838,75,0,100,25,10.0,8.38
351,0.817,72,0,100,28,10.0,8.17
352,0.772,82,0,100,18,10.0,7.72
353,0.822,71,0,100,29,10.0,8.22
354,0.778,73,0,100,27,10.0,7.78
355,0.842,77,0,100,23,10.0,8.42
356,0.845,72,0,100,28,10.0,8.45
357,0.819,74,0,100,26,10.0,8.19
358,0.771,83,0,100,17,10.0,7.71
359,0.765,78,0,100,22,10.0,7.65
360,0.765,78,0,100,22,10.0,7.65
361,0.863,73,0,100,27,10.0,8.63
362,0.767,79,0,100,21,10.0,7.67
363,0.752,75,0,100,25,10.0,7.52
364,0.771,76,0,100,24,10.0,7.71
365,0.833,76,0,100,24,10.0,8.33
366,0.884,74,0,100,26,10.0,8.84
367,0.806,76,0,100,24,10.0,8.06
368,0.822,67,0,100,33,10.0,8.22
369,0.713,83,0,100,17,10.0,7.13
370,0.817,73,0,100,27,10.0,8.17
371,0.859,76,0,100,24,10.0,8.59
372,0.824,74,0,100,26,10.0,8.24
373,0.881,70,0,100,30,10.0,8.81
374,0.756,77,0,100,23,10.0,7.56
375,0.717,81,0,100,19,10.0,7.17
376,0.78,79,0,100,21,10.0,7.8
377,0.707,74,0,100,26,10.0,7.07
378,0.736,76,0,100,24,10.0,7.36
379,0.829,72,0,100,28,10.0,8.29
380,0.836,80,0,100,20,10.0,8.36
381,0.834,75,0,100,25,10.0,8.34
382,0.836,81,0,100,19,10.0,8.36
383,0.836,74,0,100,26,10.0,8.36
384,0.694,83,0,100,17,10.0,6.94
385,0.85,82,0,100,18,10.0,8.5
386,0.782,75,0,100,25,10.0,7.82
387,0.882,75,0,100,25,10.0,8.82
388,0.809,76,0,100,24,10.0,8.09
389,0.798,75,0,100,25,10.0,7.98
390,0.812,70,0,100,30,10.0,8.12
391,0.802,72,0,100,28,10.0,8.02
392,0.867,74,0,100,26,10.0,8.67
393,0.868,78,0,100,22,10.0,8.68
394,0.752,79,0,100,21,10.0,7.52
395,0.801,76,0,100,24,10.0,8.01
396,0.771,76,0,100,24,10.0,7.71
397,0.718,77,0,100,23,10.0,7.18
398,0.772,75,0,100,25,10.0,7.72
399,0.827,75,0,100,25,10.0,8.27
400,0.881,77,0,100,23,10.0,8.81
401,0.741,79,0,100,21,10.0,7.41
402,0.79,78,0,100,22,10.0,7.9
403,0.776,73,0,100,27,10.0,7.76
404,0.871,72,0,100,28,10.0,8.71
405,0.809,77,0,100,23,10.0,8.09
406,0.799,76,0,100,24,10.0,7.99
407,0.71,75,0,100,25,10.0,7.1
408,0.877,74,0,100,26,10.0,8.77
409,0.739,77,0,100,23,10.0,7.39
410,0.791,78,0,100,22,10.0,7.91
411,0.758,77,0,100,23,10.0,7.58
412,0.851,75,0,100,25,10.0,8.51
413,0.825,75,0,100,25,10.0,8.25
414,0.802,73,0,100,27,10.0,8.02
415,0.73,78,0,100,22,10.0,7.3
416,0.825,75,0,100,25,10.0,8.25
417,0.857,75,0,100,25,10.0,8.57
418,0.813,71,0,100,29,10.0,8.13
419,0.805,74,0,100,26,10.0,8.05
420,0.739,74,0,100,26,10.0,7.39
421,0.759,81,0,100,19,10.0,7.59
422,0.799,79,0,100,21,10.0,7.99
423,0.835,78,0,100,22,10.0,8.35
424,0.715,77,0,100,23,10.0,7.15
425,0.78,79,0,100,21,10.0,7.8
426,0.818,76,0,100,24,10.0,8.18
427,0.794,74,0,100,26,10.0,7.94
428,0.65,82,0,100,18,10.0,6.5
429,0.812,76,0,100,24,10.0,8.12
430,0.78,80,0,100,20,10.0,7.8
431,0.732,85,0,100,15,10.0,7.32
432,0.797,75,0,100,25,10.0,7.97
433,0.831,77,0,100,23,10.0,8.31
434,0.754,79,0,100,21,10.0,7.54
435,0.88,68,0,100,32,10.0,8.8
436,0.865,78,0,100,22,10.0,8.65
437,0.764,79,0,100,21,10.0,7.64
438,0.835,78,0,100,22,10.0,8.35
439,0.843,75,0,100,25,10.0,8.43
440,0.837,73,0,100,27,10.0,8.37
441,0.753,77,0,100,23,10.0,7.53
442,0.825,76,0,100,24,10.0,8.25
443,0.817,81,0,100,19,10.0,8.17
444,0.769,79,0,100,21,10.0,7.69
445,0.762,77,0,100,23,10.0,7.62
446,0.766,78,0,100,22,10.0,7.66
447,0.825,78,0,100,22,10.0,8.25
448,0.842,76,0,100,24,10.0,8.42
449,0.768,79,0,100,21,10.0,7.68
450,0.793,75,0,100,25,10.0,7.93
451,0.785,75,0,100,25,10.0,7.85
452,0.719,79,0,100,21,10.0,7.19
453,0.779,81,0,100,19,10.0,7.79
454,0.823,74,0,100,26,10.0,8.23
455,0.828,71,0,100,29,10.0,8.28
456,0.863,80,0,100,20,10.0,8.63
457,0.817,77,0,100,23,10.0,8.17
458,0.759,77,0,100,23,10.0,7.59
459,0.744,81,0,100,19,10.0,7.44
460,0.835,77,0,100,23,10.0,8.35
461,0.785,78,0,100,22,10.0,7.85
462,0.816,77,0,100,23,10.0,8.16
463,0.863,72,0,100,28,10.0,8.63
464,0.788,73,0,100,27,10.0,7.88
465,0.721,77,0,100,23,10.0,7.21
466,0.871,73,0,100,27,10.0,8.71
